"Farm_ID","X2a.Total.Cattle.2010","X2b.Total.Sheep.2010","X2c.Total.Goats.2010","X4a.Cows.Abort.2010","X4a.Ewes.Abort.2010","X4a.Does.Abort.2010","X4b.AdultCattle.Die.2010","X4b.Calves.Die.2010","X4b.AdultSheep.Die.2010","X4b.Lambs.Die.2010","X4b.AdultGoats.Die.2010","X4b.GoatKids.Die.2010","X5.RVF.Vax.before.Outbreak.2010","X6.RVF.Vax.During.Outbreak.2010","X3.Outbreak","Max.Dist.Purch.Ave","f9.Prct.Access.to.Pan.Ave","f9.Pan.Num.Ave","Num_Natural_WaterSources.Ave","f14.Size.Farm.15","f2.Communal.or.Private.15","f18.Production.15","District","CumSum.2m.Rain","Prct.Rain.Days.2m","Ave.2m.CumSum","CumSum.2m.Rain_Oct","Prct.Rain.Days.2m_Oct","TotalPopDomR_2010","TotalRVFDeathsDomR.2010","TotalRVFAbortionsDomR.2010","PrctRVFAbort.2010","PrctRVFDeath.2010","PrctCattle_Ave.2010","PrctGoats_Ave.2010","X2a.Total.Cattle.2010.Stand","X2b.Total.Sheep.2010.Stand","X2c.Total.Goats.2010.Stand","Sum.Ruminants.Gained.Ave.Stand","Max.Dist.Purch.Ave.Stand","f14.Size.Farm.15.Stand","f9.Pan.Num.Ave.Stand","Num_Natural_WaterSources.Ave.Stand","CumSum.2m.Rain.Stand","TotalPopDomR_2010.Stand","TotalRVFDeathsDomR.2010.Stand","TotalRVFAbortionsDomR.2010.Stand","Prct.Rain.Days.2m.Stand","PrctSheep_Ave.2010","PrctGoats_Ave.2010.Stand","CumSum.2m.Rain_Oct.Stand","Prct.Rain.Days.2m_Oct.Stand","Sheep.Present.2010","Cattle.Present.2010","Goats.Present.2010"
"175s",0,1000,0,0,12,0,0,0,0,0,0,0,0,1,1,0,50,1,3.5,1200,"P","Commercial","Smithfield",341.857383,0.5,338.747216777778,229.595817,0.566666666666667,1000,0,12,0.012,0,0,0,-0.490203026209918,0.375822561689133,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.437937582719446,0.0625178656026901,-0.462550889815782,1.56824511431884,0.196179451946317,-0.39658199172072,-0.151459328703297,-0.0146334075171093,1,-0.302113189811343,0.706808267792208,1.99275426042933,1,0,0
"185b",110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,980,"P","Semi-Commercial","Bloemfontein",352.25619,0.533333333333333,269.917321888889,243.338,0.516666666666667,110,0,0,0,0,1,0,-0.183637434417104,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.506514221201063,-0.575962463956698,-0.315709337493312,1.87250612653965,-0.607563277371876,-0.39658199172072,-0.313737180885401,0.687770153304134,0,-0.302113189811343,1.06712640562348,0.577780821071235,0,1,0
"186b",0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"C","Small holder","Boshof",260.354684,0.533333333333333,271.006554333333,185.432035,0.483333333333333,5,0,0,0,0,0,0,-0.490203026209918,-0.550582613290892,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.811680262444258,-0.575962463956698,-0.805181178568213,-0.81646052513267,-0.702386857797057,-0.39658199172072,-0.313737180885401,0.687770153304134,1,-0.302113189811343,-0.451159988766894,-0.365534805167519,1,0,0
"196k",55,45,63,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0.5,4,2654,"P","Small holder","Kimberley",264.794942,0.55,246.826036,171.943962,0.5,163,0,0,0,0,0.337423312883436,0.386503067484663,-0.336920230313511,-0.513340194196218,1.21902840867524,0.0997792944506091,-0.136464600747222,0.0152916552454212,-0.256722299177004,-0.413603705708292,-0.686542026443202,-0.559699946300119,-0.39658199172072,-0.313737180885401,1.03897193371477,0.276073619631902,2.01757159787051,-0.804815397539447,0.106123007951857,1,1,1
"202m",50,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,150,"P","Commercial","Kimberley",263.189311,0.533333333333333,248.768492111111,178.469327,0.516666666666667,120,0,0,0,0,0.416666666666667,0,-0.350855029940457,-0.490063682262046,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.765235175472618,-0.575962463956698,-0.413603705708292,-0.733521541815793,-0.598532460188526,-0.39658199172072,-0.313737180885401,0.687770153304134,0.583333333333333,-0.302113189811343,-0.633721229642735,0.577780821071235,1,1,0
"203b",30,200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,260,"P","Semi-Commercial","Bloemfontein",291.33135,0.5,259.362615111111,212.691216,0.466666666666667,230,0,0,0,0,0.130434782608696,0,-0.406594228448241,-0.369025820204355,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.730946856231809,-0.256722299177004,-0.756233994460723,0.0898926509947334,-0.499193471171671,-0.39658199172072,-0.313737180885401,-0.0146334075171093,0.869565217391304,-0.302113189811343,0.263571967336842,-0.837192618286868,1,1,0
"205t",100,0,0,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,700,"P","Commercial","Trompsburg",272.66765,0.433333333333333,329.281873777778,187.95674,0.483333333333333,100,0,10,0.1,0,1,0,-0.211507033670996,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.593793579268575,-0.575962463956698,-0.413603705708292,-0.456192708007073,-0.616594094555227,-0.39658199172072,-0.178505637400314,-1.41944052915962,0,-0.302113189811343,-0.384962572812436,-0.365534805167519,0,1,0
"206b",0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,1,6.5,350,"P","Commercial","Bultfontein",307.367549,0.566666666666667,253.226947666667,286.7819,0.55,30,0,0,0,0,0,0,-0.490203026209918,-0.527306101356721,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.702892776852966,0.0625178656026901,-0.168867785170841,0.559099372488296,-0.67980981483868,-0.39658199172072,-0.313737180885401,1.3901737141254,1,-0.302113189811343,2.20621945569623,1.52109644730996,1,0,0
"208k",30,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C","Small holder","Kimberley",262.660321,0.55,245.366943777778,177.685122,0.5,110,0,0,0,0,0.272727272727273,0.454545454545455,-0.406594228448241,-0.527306101356721,0.917029946306908,-0.158907765236155,-0.136464600747222,-0.811991974437356,-0.575962463956698,-0.805181178568213,-0.748999378153623,-0.607563277371876,-0.39658199172072,-0.313737180885401,1.03897193371477,0.272727272727273,2.42594323437438,-0.654282976293756,0.106123007951857,1,1,1
"209p",20,150,0,0,50,0,0,0,0,50,0,0,0,1,1,0,0,0,6,2155,"P","Commercial","Petrusburg",218.762981,0.383333333333333,232.300801444444,134.58493,0.416666666666667,170,50,50,0.294117647058824,0.294117647058824,0.117647058823529,0,-0.434463827702133,-0.415578844072698,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.14025262931061,-0.575962463956698,-0.217814969278331,-2.03340143525507,-0.553378374271773,1.04117749488008,0.362420536540032,-2.47304587039149,0.882352941176471,-0.302113189811343,-1.78436405013844,-2.25216605764497,1,1,0
"211b",1300,160,0,0,0,0,0,0,0,0,0,0,1,1,0,0,30,0.5,26.5,11000,"P","Semi-Commercial","Boshof",255.890241,0.516666666666667,268.161782888889,181.760785,0.483333333333333,1460,0,0,0,0,0.89041095890411,0,3.13284487679606,-0.406268239299029,-0.24450260126359,-0.158907765236155,-0.136464600747222,2.61683994964349,-0.256722299177004,1.78901957912877,-0.947086658128705,0.61159704238044,-0.39658199172072,-0.313737180885401,0.336568372893524,0.10958904109589,-0.302113189811343,-0.54741965606379,-0.365534805167519,1,1,0
"214p",500,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,15,1.5,7,5000,"P","Commercial","Petrusburg",285.17931,0.483333333333333,267.469825111111,202.78602,0.5,500,1,0,0,0.002,1,0,0.903276936484689,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,0.746567991053935,0.381758030382384,-0.119920601063351,-0.090111258840587,-0.255361407221207,-0.367826801988704,-0.313737180885401,-0.365835187927742,0,-0.302113189811343,0.00385909802243002,0.106123007951857,0,1,0
"217k",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3000,"P","Commercial","Kimberley",264.936047,0.55,247.500709333333,158.832618,0.5,200,0,0,0,0,1,0,0.0671889588679249,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,0.123144004857419,-0.575962463956698,-0.609392442138253,-0.682413403791641,-0.526285922721722,-0.39658199172072,-0.313737180885401,1.03897193371477,0,-0.302113189811343,-1.14859302403046,0.106123007951857,0,1,0
"222p",60,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1.5,18,6780,"P","Commercial","Philippolis",238.4375,0.366666666666667,269.320976666667,143.34984,0.4,1560,0,0,0,0,0.0384615384615385,0,-0.322985430686565,0.841352800372562,-0.24450260126359,-0.158907765236155,-0.136464600747222,1.30141533876883,0.381758030382384,0.956917449301433,-1.45774029779022,0.701905214213945,-0.39658199172072,-0.313737180885401,-2.82424765080211,0.961538461538462,-0.302113189811343,-1.55454932205203,-2.72382387076434,1,1,0
"227b",50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5,600,"P","Commercial","Bloemfontein",294.22747,0.516666666666667,280.372818444444,220.064816,0.483333333333333,50,0,0,0,0,1,0,-0.350855029940457,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.624964778578401,-0.575962463956698,-0.364656521600802,0.174630871707256,-0.661748180471979,-0.39658199172072,-0.313737180885401,0.336568372893524,0,-0.302113189811343,0.456906739629763,-0.365534805167519,0,1,0
"229p",90,600,0,0,15,0,1,0,50,0,0,0,0,1,1,0,45,1.5,9,2237,"P","Commercial","Petrusburg",255.740993,0.466666666666667,251.336627333333,174.839999,0.466666666666667,690,51,15,0.0217391304347826,0.0739130434782609,0.130434782608696,0,-0.239376632924888,0.00339837074238901,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.114692245876553,0.381758030382384,0.0758681353666098,-0.951453538632587,-0.083775880737548,1.06993268461209,-0.110889865657771,-0.717036968338353,0.869565217391304,-0.302113189811343,-0.728881707897092,-0.837192618286868,1,1,0
"237b",1430,0,0,0,140,0,0,0,50,100,0,0,0,1,1,0,20,6,28,3700,"P","Commercial","Boshof",302.69581,0.516666666666667,288.641250888889,219.272867,0.516666666666667,1430,150,140,0.0979020979020979,0.104895104895105,1,0,3.49514966709666,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,0.341342400026199,3.25491951339963,1.93586113145124,0.422407919615729,0.584504590830388,3.91669646808168,1.57950442790581,0.336568372893524,0,-0.302113189811343,0.436141946369672,0.577780821071235,0,1,0
"240b",130,40,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.5,3500,"P","Commercial","Boshof",254.317891,0.533333333333333,264.603243666667,185.178377,0.5,210,0,0,0,0,0.619047619047619,0.19047619047619,-0.12789823590932,-0.517995496583052,0.684723436792808,3.53662165886048,-0.136464600747222,0.279000001406548,-0.575962463956698,-0.462550889815782,-0.993092397302957,-0.517255105538372,-0.39658199172072,-0.313737180885401,0.687770153304134,0.19047619047619,0.841072359371246,-0.457810866448119,0.106123007951857,1,1,1
"242j",35,1900,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,2860,"P","Commercial","Jagersfontein",274.1421,0.45,298.092853333333,183.65427,0.466666666666667,1935,0,0,0,0,0.0180878552971576,0,-0.392659428821295,1.21377699131931,-0.24450260126359,-0.158907765236155,-0.136464600747222,0.0795043258236624,-0.575962463956698,0.17376250358159,-0.413051446757683,1.04056085858959,-0.39658199172072,-0.313737180885401,-1.06823874874899,0.981912144702842,-0.302113189811343,-0.497772741216895,-0.837192618286868,1,1,0
"245k",2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,2.5,90,"P","Semi-Commercial","Kimberley",267.405162,0.55,243.738465777778,172.343022,0.516666666666667,52,0,0,0,0,0.0384615384615385,0.961538461538462,-0.484629106359139,-0.555237915677727,0.917029946306908,-0.158907765236155,-0.136464600747222,-0.783937895058513,0.0625178656026901,-0.560445258030763,-0.610169017566414,-0.659942017035309,-0.39658199172072,-0.313737180885401,1.03897193371477,0,5.4687753998123,-0.794352099526101,0.577780821071235,0,1,1
"246b",80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,5,12.5,1500,"P","Commercial","Bultfontein",330.315733,0.533333333333333,286.663850222222,266.58,0.516666666666667,80,0,0,0,0,1,0,-0.267246232178781,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.344423984789969,2.61643918384024,0.418498424119041,1.23054540398685,-0.634655728921928,-0.39658199172072,-0.313737180885401,0.687770153304134,0,-0.302113189811343,1.67652843144968,0.577780821071235,0,1,0
"248j",30,1400,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,1.5,5,3569,"P","Commercial","Jagersfontein",250.62744,0.416666666666667,288.081877777778,168.91075,0.433333333333333,1430,0,0,0,0,0.020979020979021,0,-0.406594228448241,0.748246752635876,-0.24450260126359,-0.158907765236155,-0.136464600747222,0.300508128930328,0.381758030382384,-0.315709337493312,-1.10107212582482,0.584504590830388,-0.39658199172072,-0.313737180885401,-1.77064230957023,0.979020979020979,-0.302113189811343,-0.88434579671165,-1.78050824452562,1,1,0
"249k",110,20,45,10,7,0,40,7,3,2,0,0,0,1,1,0,0,0,1.5,1000,"C","Small holder","Kimberley",264.252191,0.55,246.346903111111,176.236637,0.5,175,52,17,0.0971428571428571,0.297142857142857,0.628571428571429,0.257142857142857,-0.183637434417104,-0.536616706130389,0.800876691549858,-0.158907765236155,-0.136464600747222,-0.500279981339098,-0.575962463956698,-0.658339626245743,-0.702422498947774,-0.548862965680098,1.09868787434411,-0.0838435569607537,1.03897193371477,0.114285714285714,1.24118730158515,-0.692262052680421,0.106123007951857,1,1,1
"253h",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.5,1100,"P","Commercial","Herbert",252.994867,0.5,251.475389222222,154.67279,0.466666666666667,100,0,0,0,0,0,0,-0.490203026209918,-0.462131867941041,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.469108782029272,-0.575962463956698,4.72585062557818,-1.03180305146092,-0.616594094555227,-0.39658199172072,-0.313737180885401,-0.0146334075171093,1,-0.302113189811343,-1.25766313892112,-0.837192618286868,1,0,0
"255t",84,517,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,886,"P","Semi-Commercial","Trompsburg",272.66765,0.433333333333333,329.281873777778,187.95674,0.483333333333333,665,0,0,0,0,0.126315789473684,0.0962406015037594,-0.256098392477224,-0.0738796488790603,1.24225905962665,-0.158907765236155,-0.136464600747222,-0.5358151485523,-0.575962463956698,-0.658339626245743,-0.456192708007073,-0.106352923695924,-0.39658199172072,-0.313737180885401,-1.41944052915962,0.777443609022556,0.275496350828281,-0.384962572812436,-0.365534805167519,1,1,1
"257b",60,300,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,8.5,935,"P","Semi-Commercial","Bloemfontein",291.42875,0.5,267.512418555556,220.270576,0.483333333333333,360,0,3,0.00833333333333333,0,0.166666666666667,0,-0.322985430686565,-0.275919772467669,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.520541260890485,-0.575962463956698,0.0269209512591196,0.0927424993081317,-0.381792847788114,-0.39658199172072,-0.273167717839875,-0.0146334075171093,0.833333333333333,-0.302113189811343,0.46230173837488,-0.365534805167519,1,1,0
"258j",20,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8500,"P","Commercial","Jagersfontein",280.42883,0.45,321.525426111111,180.35663,0.466666666666667,1520,0,0,0,0,0.0131578947368421,0,-0.434463827702133,0.841352800372562,-0.24450260126359,-0.158907765236155,-0.136464600747222,1.83755996689784,-0.575962463956698,0.663234344656492,-0.229106612185898,0.665781945480543,-0.39658199172072,-0.313737180885401,-1.06823874874899,0.986842105263158,-0.302113189811343,-0.584236405980922,-0.837192618286868,1,1,0
"259e",20,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2095,"P","Semi-Commercial","Edenburg",288.016212,0.45,322.701184555556,205.59099,0.533333333333333,2020,0,0,0,0,0.0099009900990099,0,-0.434463827702133,1.30688303905599,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.158955348896505,-0.575962463956698,-0.609392442138253,-0.00710571079154281,1.11732280464807,-0.39658199172072,-0.313737180885401,-1.06823874874899,0.99009900990099,-0.302113189811343,0.0774050235185884,1.04943863419058,1,1,0
"263p",30,800,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,3700,"P","Commercial","Philippolis",238.97271,0.366666666666667,261.428982222222,138.31546,0.383333333333333,830,0,0,0,0,0.036144578313253,0,-0.406594228448241,0.189610466215761,-0.24450260126359,-0.158907765236155,-0.136464600747222,0.341342400026199,-0.575962463956698,-0.0220262328483705,-1.44208046908576,0.0426555598293588,-0.39658199172072,-0.313737180885401,-2.82424765080211,0.963855421686747,-0.302113189811343,-1.68655006943947,-3.19548168388372,1,1,0
"275b",0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,3,29,8000,"P","Commercial","Boshof",281.550228,0.55,264.882107333333,195.93577,0.533333333333333,250,0,0,0,0,0,0,-0.490203026209918,-0.322472796336012,-0.24450260126359,-0.158907765236155,-0.136464600747222,1.68170397034871,1.33947852472147,2.03375549966622,-0.196295378110452,-0.48113183680497,-0.39658199172072,-0.313737180885401,1.03897193371477,1,-0.302113189811343,-0.17575350964541,1.04943863419058,1,0,0
"279b",800,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,9000,"P","Commercial","Bloemfontein",294.51427,0.5,281.797486555556,217.231676,0.483333333333333,800,0,0,0,0,1,0,1.73936491410145,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,1.99341596344697,-0.575962463956698,-0.756233994460723,0.183022416843629,0.0155631082793074,-0.39658199172072,-0.313737180885401,-0.0146334075171093,0,-0.302113189811343,0.382622200629279,-0.365534805167519,0,1,0
"281h",1500,1000,0,5,15,0,0,0,0,30,0,0,0,1,1,0,65,4,38,13600,"P","Commercial","Herbert",311.370724,0.533333333333333,289.735642333333,221.477171,0.516666666666667,2500,30,20,0.008,0.012,0.6,0,3.6902368618739,0.375822561689133,-0.24450260126359,-0.158907765236155,-0.136464600747222,3.42729113169896,1.97795885428086,2.91480481360104,0.676229162241778,1.55080202944889,0.466073700239759,-0.0432740939152277,0.687770153304134,0.4,-0.302113189811343,0.493938492412904,0.577780821071235,1,1,0
"282e",15,140,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1200,"P","Commercial","Edenburg",291.01771,0.466666666666667,295.042192111111,211.77455,0.533333333333333,155,0,0,0,0,0.0967741935483871,0,-0.448398627329079,-0.424889448846366,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.437937582719446,-0.575962463956698,-0.413603705708292,0.0807157883149161,-0.566924600046799,-0.39658199172072,-0.313737180885401,-0.717036968338353,0.903225806451613,-0.302113189811343,0.239537111584067,1.04943863419058,1,1,0
"283p",150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,834,"P","Commercial","Petrusburg",271.26816,0.483333333333333,261.425014555556,185.666634,0.5,150,0,0,0,0,1,0,-0.0721590374015357,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.552024172193409,-0.575962463956698,-0.707286810353233,-0.497140697905614,-0.571440008638474,-0.39658199172072,-0.313737180885401,-0.365835187927742,0,-0.302113189811343,-0.44500883542997,0.106123007951857,0,1,0
